Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
134,tt2975590,2016-04-19,2016-04-19,,Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,movie,6.4,152,2016,"Action, Adventure, Sci-Fi",609962,2016-03-12,Zack Snyder,8,2017-06-05
135,tt2488496,2016-04-19,2016-04-19,,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/,movie,7.9,138,2015,"Action, Adventure, Sci-Fi",843282,2015-12-14,J.J. Abrams,8,2017-03-07
136,tt0841044,2016-04-19,2016-04-19,,2 Days in Paris,https://www.imdb.com/title/tt0841044/,movie,6.8,96,2007,"Comedy, Drama, Romance",29762,2007-02-10,Julie Delpy,8,2017-04-27
137,tt4372390,2016-04-19,2016-04-19,,Detour,https://www.imdb.com/title/tt4372390/,movie,6.2,97,2016,"Action, Thriller",5190,2016-04-16,Christopher Smith,8,2018-10-03
138,tt2093991,2016-04-19,2016-04-19,,Elvis & Nixon,https://www.imdb.com/title/tt2093991/,movie,6.4,86,2016,"Comedy, History",12793,2016-04-18,Liza Johnson,8,2017-01-11
139,tt4196848,2016-04-19,2016-04-19,,Mr. Church,https://www.imdb.com/title/tt4196848/,movie,7.6,104,2016,"Comedy, Drama",24918,2016-04-22,Bruce Beresford,8,2017-03-10
140,tt4972062,2016-04-19,2016-04-19,,Don't Think Twice,https://www.imdb.com/title/tt4972062/,movie,6.7,92,2016,"Comedy, Drama",16415,2016-03-13,Mike Birbiglia,8,2017-02-07
141,tt3885524,2016-04-19,2016-04-19,,The Phenom,https://www.imdb.com/title/tt3885524/,movie,5.2,88,2016,"Drama, Sport",2098,2016-04-17,Noah Buschel,7,2019-01-19
142,tt1343755,2016-04-19,2016-04-19,,Zweiohrk�ken,https://www.imdb.com/title/tt1343755/,movie,5.6,124,2009,"Comedy, Romance",7596,2009-12-01,Til Schweiger,8,2017-04-27
143,tt1255955,2016-04-19,2016-04-19,,M�nnerherzen,https://www.imdb.com/title/tt1255955/,movie,6.2,107,2009,Comedy,4766,2009-10-08,Simon Verhoeven,9,2017-04-27
144,tt1172991,2016-04-19,2016-04-19,,The Company Men,https://www.imdb.com/title/tt1172991/,movie,6.7,104,2010,Drama,42912,2010-01-22,John Wells,7,2019-01-20
145,tt4422836,2016-04-20,2016-04-20,,Limitless,https://www.imdb.com/title/tt4422836/,tvSeries,7.7,42,2015,"Comedy, Crime, Drama, Sci-Fi, Thriller",60655,2015-09-22,,9,2017-04-27
146,tt1031969,2016-04-20,2016-04-20,,The Rocker,https://www.imdb.com/title/tt1031969/,movie,6.2,102,2008,"Comedy, Music",36353,2008-06-12,Peter Cattaneo,7,2018-11-03
147,tt2582802,2016-07-20,2016-07-20,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",687136,2014-01-16,Damien Chazelle,9,2017-02-12
148,tt2265398,2016-07-26,2016-07-26,,Drinking Buddies,https://www.imdb.com/title/tt2265398/,movie,6.1,90,2013,"Comedy, Drama, Romance",55333,2013-01-22,Joe Swanberg,7,2018-09-02
149,tt1887785,2016-09-20,2016-09-20,,La leggenda di Kaspar Hauser,https://www.imdb.com/title/tt1887785/,movie,6.7,95,2012,"Drama, Mystery",1286,2012-01-30,Davide Manuli,7,2019-01-13
150,tt3787590,2016-09-27,2016-09-27,,We Are Your Friends,https://www.imdb.com/title/tt3787590/,movie,6.2,96,2015,"Drama, Music, Romance",35066,2015-08-11,Max Joseph,9,2017-03-14
151,tt2461150,2016-10-07,2016-10-07,,Masterminds,https://www.imdb.com/title/tt2461150/,movie,5.8,95,2016,"Biography, Comedy, Crime",49091,2015-09-03,Jared Hess,6,2017-02-16
152,tt3774114,2016-10-07,2016-10-07,,Snowden,https://www.imdb.com/title/tt3774114/,movie,7.3,134,2016,"Biography, Crime, Drama, Thriller",131371,2016-07-21,Oliver Stone,8,2017-03-18
153,tt4651520,2016-10-07,2016-10-07,,Bad Moms,https://www.imdb.com/title/tt4651520/,movie,6.2,100,2016,Comedy,110580,2016-07-28,"Jon Lucas, Scott Moore",7,2017-02-05
154,tt2005151,2016-10-07,2016-10-07,,War Dogs,https://www.imdb.com/title/tt2005151/,movie,7.1,114,2016,"Biography, Comedy, Crime, Drama, War",171338,2016-08-03,Todd Phillips,8,2016-12-31
155,tt2823054,2016-10-07,2016-10-07,,Mike and Dave Need Wedding Dates,https://www.imdb.com/title/tt2823054/,movie,6.0,98,2016,"Comedy, Romance",80501,2016-06-29,Jake Szymanski,7,2017-03-09
156,tt4176826,2016-10-07,2016-10-07,,Er ist wieder da,https://www.imdb.com/title/tt4176826/,movie,7.1,116,2015,"Comedy, Drama, Fantasy",40972,2015-10-08,David Wnendt,9,2017-03-26
157,tt1266020,2016-10-17,2016-10-17,,Parks and Recreation,https://www.imdb.com/title/tt1266020/,tvSeries,8.6,22,2009,Comedy,201309,2009-04-09,,10,2016-12-29
158,tt4901306,2016-10-23,2016-10-23,,Perfetti sconosciuti,https://www.imdb.com/title/tt4901306/,movie,7.8,96,2016,"Comedy, Drama",54075,2016-02-02,Paolo Genovese,8,2018-12-17
159,tt5462886,2016-10-24,2016-10-24,,You Are Wanted,https://www.imdb.com/title/tt5462886/,tvSeries,6.0,49,2017,"Drama, Thriller",2877,2017-03-17,,8,2018-12-29
160,tt0078723,2016-10-25,2016-10-25,,1941,https://www.imdb.com/title/tt0078723/,movie,5.8,118,1979,"Action, Comedy, War",30727,1979-12-13,Steven Spielberg,6,2018-06-09
161,tt0094006,2016-10-25,2016-10-25,,Some Kind of Wonderful,https://www.imdb.com/title/tt0094006/,movie,7.1,95,1987,"Drama, Romance",26935,1987-02-23,Howard Deutch,8,2018-11-27
162,tt0089886,2016-10-25,2016-10-25,,Real Genius,https://www.imdb.com/title/tt0089886/,movie,7.0,108,1985,"Comedy, Romance, Sci-Fi",29616,1985-08-07,Martha Coolidge,9,2017-02-18
163,tt0093186,2016-10-25,2016-10-25,,Hiding Out,https://www.imdb.com/title/tt0093186/,movie,6.5,98,1987,"Comedy, Drama, Romance, Thriller",3185,1987-11-06,Bob Giraldi,7,2018-10-01
164,tt0111094,2016-10-26,2016-10-26,,The Scout,https://www.imdb.com/title/tt0111094/,movie,5.4,101,1994,"Comedy, Drama, Sport",5853,1994-09-30,Michael Ritchie,6,2019-01-12
165,tt1489889,2016-10-28,2016-10-28,,Central Intelligence,https://www.imdb.com/title/tt1489889/,movie,6.3,107,2016,"Action, Comedy, Crime",154265,2016-06-10,Rawson Marshall Thurber,6,2017-03-07
166,tt2702724,2016-10-28,2016-10-28,,The Boss,https://www.imdb.com/title/tt2702724/,movie,5.4,99,2016,Comedy,41929,2016-03-21,Ben Falcone,6,2019-01-13
167,tt2561572,2016-10-28,2016-10-28,,Get Hard,https://www.imdb.com/title/tt2561572/,movie,6.0,100,2015,"Comedy, Crime",119715,2015-03-16,Etan Cohen,7,2017-04-04
168,tt0884732,2016-10-28,2016-10-28,,The Wedding Ringer,https://www.imdb.com/title/tt0884732/,movie,6.6,101,2015,Comedy,69766,2015-01-06,Jeremy Garelick,8,2019-01-12
169,tt0091991,2016-10-28,2016-10-28,,Soul Man,https://www.imdb.com/title/tt0091991/,movie,5.3,104,1986,"Comedy, Romance",7482,1986-10-24,Steve Miner,7,2018-05-22
170,tt0079417,2016-10-28,2016-10-28,,Kramer vs. Kramer,https://www.imdb.com/title/tt0079417/,movie,7.8,105,1979,Drama,128970,1979-12-17,Robert Benton,8,2018-04-06
171,tt3027644,2016-10-31,2016-10-31,,Flock of Dudes,https://www.imdb.com/title/tt3027644/,movie,5.3,90,2016,Comedy,906,2016-06-13,Bob Castrone,6,2018-06-07
172,tt0392878,2016-11-03,2016-11-03,,The Onion Movie,https://www.imdb.com/title/tt0392878/,movie,6.2,86,2008,Comedy,15258,2008-01-07,"Tom Kuntz, Mike Maguire",6,2018-07-04
173,tt0379786,2016-11-07,2016-11-07,,Serenity,https://www.imdb.com/title/tt0379786/,movie,7.8,119,2005,"Action, Adventure, Sci-Fi, Thriller",279341,2005-08-22,Joss Whedon,5,2018-01-19
174,tt2094064,2016-11-07,2016-11-07,,Much Ado About Nothing,https://www.imdb.com/title/tt2094064/,movie,7.1,109,2012,"Comedy, Drama, Romance",15907,2012-09-08,Joss Whedon,5,2018-06-29
175,tt0475784,2016-11-14,2016-11-14,,Westworld,https://www.imdb.com/title/tt0475784/,tvSeries,8.7,62,2016,"Drama, Mystery, Sci-Fi",408037,2016-09-30,,8,2019-01-31
176,tt3245206,2016-11-15,2016-11-15,,Paris/Berlin: 20 Years of Underground Techno,https://www.imdb.com/title/tt3245206/,movie,8.0,52,2012,Documentary,40,2012-05-24,Am�lie Ravalec,8,2019-08-15
177,tt1495980,2016-11-17,2016-11-17,,The Last Days of Lehman Brothers,https://www.imdb.com/title/tt1495980/,tvMovie,6.2,60,2009,Drama,462,2009-09-09,Michael Samuels,5,2018-01-28
178,tt1742683,2016-11-17,2016-11-17,,Too Big to Fail,https://www.imdb.com/title/tt1742683/,tvMovie,7.3,99,2011,"Biography, Drama, History",15062,2011-05-23,Curtis Hanson,9,2017-02-12
179,tt0181984,2016-11-17,2016-11-17,,Boiler Room,https://www.imdb.com/title/tt0181984/,movie,7.0,120,2000,"Crime, Drama, Thriller",48318,2000-01-30,Ben Younger,8,2017-02-02
180,tt0151804,2016-11-21,2016-11-21,,Office Space,https://www.imdb.com/title/tt0151804/,movie,7.7,89,1999,Comedy,237102,1999-02-19,Mike Judge,9,2018-02-01
181,tt5518022,2016-11-25,2016-11-25,,"Houston, We Have a Problem",https://www.imdb.com/title/tt5518022/,movie,7.9,88,2016,"Documentary, History",3156,2016-04-16,Ziga Virc,10,2018-07-21
182,tt2210787,2016-11-29,2016-11-29,,Macho Man,https://www.imdb.com/title/tt2210787/,movie,4.9,98,2015,"Comedy, Romance",481,2015-10-29,Christof Wahl,6,2019-06-10
183,tt1726252,2016-11-29,2016-11-29,,Die dunkle Seite des Mondes,https://www.imdb.com/title/tt1726252/,movie,6.3,98,2015,"Mystery, Thriller",3737,2015-09-27,Stephan Rick,7,2017-10-24
184,tt1369667,2016-11-29,2016-11-29,,Ich und Kaminski,https://www.imdb.com/title/tt1369667/,movie,6.7,124,2015,"Comedy, Drama",1235,2015-09-17,Wolfgang Becker,7,2018-08-21
185,tt4766604,2016-11-29,2016-11-29,,Highway to Hellas,https://www.imdb.com/title/tt4766604/,movie,5.6,88,2015,Comedy,1092,2015-11-26,Aron Lehmann,7,2018-07-22
186,tt3124060,2016-11-29,2016-11-29,,Da muss Mann durch,https://www.imdb.com/title/tt3124060/,movie,4.4,90,2015,Comedy,242,2015-01-29,Marc Rothemund,6,2019-07-06
187,tt2181814,2016-11-29,2016-11-29,,Im Sommer wohnt er unten,https://www.imdb.com/title/tt2181814/,movie,6.3,100,2015,"Comedy, Drama",216,2015-02-06,Tom Sommerlatte,7,2019-05-30
188,tt3598648,2016-11-29,2016-11-29,,3 T�rken & ein Baby,https://www.imdb.com/title/tt3598648/,movie,5.5,95,2015,Comedy,1400,2015-01-22,Sinan Akkus,6,2019-06-05
189,tt4966278,2016-11-29,2016-11-29,,"Kleine Ziege, sturer Bock",https://www.imdb.com/title/tt4966278/,movie,6.0,95,2015,"Adventure, Comedy, Drama",242,2015-10-04,Johannes Fabrick,6,2019-07-02
190,tt1631867,2016-12-05,2016-12-05,,Edge of Tomorrow,https://www.imdb.com/title/tt1631867/,movie,7.9,113,2014,"Action, Adventure, Sci-Fi",584181,2014-05-28,Doug Liman,8,2018-07-22
191,tt4258698,2016-12-06,2016-12-06,,Southside with You,https://www.imdb.com/title/tt4258698/,movie,6.3,84,2016,"Biography, Drama, History, Romance",7415,2016-01-24,Richard Tanne,8,2018-07-05
192,tt0248408,2016-12-12,2016-12-12,,Der Schuh des Manitu,https://www.imdb.com/title/tt0248408/,movie,6.7,87,2001,"Comedy, Western",16917,2001-07-13,Michael Herbig,9,2017-08-14
193,tt0200849,2016-12-12,2016-12-12,,Mein liebster Feind - Klaus Kinski,https://www.imdb.com/title/tt0200849/,movie,7.9,95,1999,"Documentary, Biography",10124,1999-05-17,Werner Herzog,8,2018-06-23
194,tt4384086,2016-12-14,2016-12-14,,Life in Pieces,https://www.imdb.com/title/tt4384086/,tvSeries,8.0,22,2015,Comedy,12032,2015-09-21,,9,2019-06-05
195,tt4574334,2016-12-15,2016-12-15,,Stranger Things,https://www.imdb.com/title/tt4574334/,tvSeries,8.8,51,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",757894,2016-07-11,,9,2019-08-11
196,tt6110504,2016-12-18,2016-12-18,,Becoming Bond,https://www.imdb.com/title/tt6110504/,movie,7.5,95,2017,"Documentary, Biography, Comedy, History",2236,2017-03-11,Josh Greenbaum,7,2018-06-04
197,tt2397535,2016-12-19,2016-12-19,,Predestination,https://www.imdb.com/title/tt2397535/,movie,7.5,97,2014,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",244717,2014-03-08,"Michael Spierig, Peter Spierig",7,2017-01-15
198,tt3730510,2016-12-19,2016-12-19,,Puerto Ricans in Paris,https://www.imdb.com/title/tt3730510/,movie,5.3,82,2015,Comedy,1640,2015-06-12,Ian Edelman,6,2018-11-04
199,tt5638056,2016-12-19,2016-12-19,,The Mick,https://www.imdb.com/title/tt5638056/,tvSeries,7.8,30,2017,Comedy,13336,2017-01-01,,9,2019-04-21
200,tt5011816,2016-12-19,2016-12-19,,Sneaky Pete,https://www.imdb.com/title/tt5011816/,tvSeries,8.2,60,2015,"Crime, Drama",28178,2015-08-07,,9,2019-01-31
201,tt3748528,2016-12-19,2016-12-19,,Rogue One,https://www.imdb.com/title/tt3748528/,movie,7.8,133,2016,"Action, Adventure, Sci-Fi",536617,2016-12-10,Gareth Edwards,8,2016-12-31
202,tt2543164,2016-12-19,2016-12-19,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi, Thriller",572805,2016-09-01,Denis Villeneuve,9,2017-01-27
203,tt3416744,2016-12-20,2016-12-20,,The End of the Tour,https://www.imdb.com/title/tt3416744/,movie,7.3,106,2015,"Biography, Drama",28047,2015-01-23,James Ponsoldt,7,2018-07-21
204,tt0080487,2016-12-21,2016-12-21,,Caddyshack,https://www.imdb.com/title/tt0080487/,movie,7.3,98,1980,"Comedy, Sport",102628,1980-07-25,Harold Ramis,7,2017-10-29
205,tt1798709,2016-12-21,2016-12-21,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",521362,2013-10-12,Spike Jonze,8,2018-04-06
206,tt0097958,2016-12-21,2016-12-21,,National Lampoon's Christmas Vacation,https://www.imdb.com/title/tt0097958/,movie,7.6,97,1989,Comedy,148100,1989-11-30,Jeremiah S. Chechik,8,2018-03-27
207,tt0085334,2016-12-21,2016-12-21,,A Christmas Story,https://www.imdb.com/title/tt0085334/,movie,7.9,94,1983,"Comedy, Family",127576,1983-11-18,Bob Clark,4,2018-08-05
208,tt0252028,2016-12-21,2016-12-21,,Surviving Christmas,https://www.imdb.com/title/tt0252028/,movie,5.4,91,2004,"Comedy, Romance",21883,2004-10-14,Mike Mitchell,7,2018-07-22
209,tt0096061,2016-12-21,2016-12-21,,Scrooged,https://www.imdb.com/title/tt0096061/,movie,7.0,101,1988,"Comedy, Drama, Fantasy, Romance",83045,1988-11-17,Richard Donner,8,2018-07-21
210,tt0116705,2016-12-21,2016-12-21,,Jingle All the Way,https://www.imdb.com/title/tt0116705/,movie,5.6,89,1996,"Adventure, Comedy, Family",89200,1996-11-16,Brian Levant,7,2018-05-20
211,tt0400525,2016-12-21,2016-12-21,,The Ice Harvest,https://www.imdb.com/title/tt0400525/,movie,6.3,92,2005,"Comedy, Crime, Drama, Thriller",22939,2005-09-03,Harold Ramis,7,2018-06-30
212,tt1711525,2016-12-21,2016-12-21,,Office Christmas Party,https://www.imdb.com/title/tt1711525/,movie,5.8,105,2016,Comedy,66100,2016-12-07,"Will Speck, Josh Gordon",7,2018-05-14
213,tt4501244,2016-12-21,2016-12-21,,Why Him?,https://www.imdb.com/title/tt4501244/,movie,6.2,111,2016,Comedy,98125,2016-12-17,John Hamburg,7,2018-05-27
214,tt2717822,2016-12-21,2016-12-21,,Blackhat,https://www.imdb.com/title/tt2717822/,movie,5.4,133,2015,"Action, Crime, Thriller",51103,2015-01-08,Michael Mann,4,2018-06-23
215,tt1578887,2016-12-21,2016-12-21,,Luck,https://www.imdb.com/title/tt1578887/,tvSeries,7.5,52,2011,"Drama, Sport",5370,2011-12-11,,5,2018-10-11
216,tt4048272,2016-12-21,2016-12-21,,Toni Erdmann,https://www.imdb.com/title/tt4048272/,movie,7.4,162,2016,"Comedy, Drama",42823,2016-05-14,Maren Ade,8,2018-02-23
217,tt1800302,2016-12-21,2016-12-21,,Gold,https://www.imdb.com/title/tt1800302/,movie,6.7,120,2016,"Crime, Drama",55275,2016-12-29,Stephen Gaghan,8,2018-06-23
218,tt4276820,2016-12-21,2016-12-21,,The Founder,https://www.imdb.com/title/tt4276820/,movie,7.2,115,2016,"Biography, Drama",115872,2016-11-24,John Lee Hancock,8,2018-07-20
219,tt1966359,2016-12-21,2016-12-21,,Father Figures,https://www.imdb.com/title/tt1966359/,movie,5.5,113,2017,"Comedy, Drama",17128,2017-12-21,Lawrence Sher,6,2019-06-20
220,tt4958468,2016-12-21,2016-12-21,,Un Padre No Tan Padre,https://www.imdb.com/title/tt4958468/,movie,6.8,94,2016,Comedy,1068,2016-12-21,Ra�l Mart�nez,6,2019-07-06
221,tt3401882,2016-12-21,2016-12-21,,Fist Fight,https://www.imdb.com/title/tt3401882/,movie,5.6,91,2017,Comedy,38685,2017-02-16,Richie Keen,7,2018-08-05
222,tt1412528,2016-12-21,2016-12-21,,Table 19,https://www.imdb.com/title/tt1412528/,movie,5.8,87,2017,"Comedy, Drama, Romance",25352,2017-03-03,Jeffrey Blitz,8,2018-04-22
223,tt0091949,2016-12-21,2016-12-21,,Short Circuit,https://www.imdb.com/title/tt0091949/,movie,6.7,98,1986,"Comedy, Family, Sci-Fi",55596,1986-05-09,John Badham,8,2018-04-08
224,tt0071230,2016-12-21,2016-12-21,,Blazing Saddles,https://www.imdb.com/title/tt0071230/,movie,7.7,93,1974,"Comedy, Western",122993,1974-02-07,Mel Brooks,7,2018-04-15
225,tt0076054,2016-12-23,2016-12-23,,Freaky Friday,https://www.imdb.com/title/tt0076054/,movie,6.3,95,1976,"Comedy, Family, Fantasy",11398,1976-12-17,Gary Nelson,5,2018-06-14
226,tt1911553,2016-12-23,2016-12-23,,Comme un chef,https://www.imdb.com/title/tt1911553/,movie,6.6,84,2012,"Comedy, Drama",15911,2012-01-21,Daniel Cohen,8,2018-08-19
227,tt2204371,2016-12-23,2016-12-23,,Somm,https://www.imdb.com/title/tt2204371/,movie,7.0,94,2012,Documentary,4301,2012-11-07,Jason Wise,9,2018-05-10
228,tt1153053,2016-12-23,2016-12-23,,Today's Special,https://www.imdb.com/title/tt1153053/,movie,6.6,99,2009,Comedy,6224,2009-10-16,David Kaplan,7,2018-05-15
229,tt2381941,2016-12-23,2016-12-23,,Focus,https://www.imdb.com/title/tt2381941/,movie,6.6,105,2015,"Comedy, Crime, Drama, Romance",211532,2015-02-11,"Glenn Ficarra, John Requa",8,2018-06-18
230,tt0080319,2016-12-26,2016-12-26,,Nine to Five,https://www.imdb.com/title/tt0080319/,movie,6.8,109,1980,Comedy,26664,1980-12-19,Colin Higgins,7,2018-07-03
231,tt6148324,2016-12-27,2016-12-27,,Deutschland 86,https://www.imdb.com/title/tt6148324/,tvSeries,7.6,60,2018,"Action, Drama, History, Thriller",2621,2018-10-11,,7,2019-06-20
232,tt0086197,2016-12-28,2016-12-28,,The Right Stuff,https://www.imdb.com/title/tt0086197/,movie,7.8,193,1983,"Adventure, Biography, Drama, History",54815,1983-10-21,Philip Kaufman,7,2018-05-27
233,tt1083452,2016-12-29,2016-12-29,,Eddie the Eagle,https://www.imdb.com/title/tt1083452/,movie,7.4,106,2015,"Biography, Comedy, Drama, Family, Sport",82523,2015-12-12,Dexter Fletcher,9,2017-01-04
234,tt4667094,2016-12-30,2016-12-30,,Fifty Shades of Black,https://www.imdb.com/title/tt4667094/,movie,3.5,92,2016,Comedy,19030,2016-01-28,Michael Tiddes,8,2018-06-24
235,tt2660888,2016-12-30,2016-12-30,,Star Trek Beyond,https://www.imdb.com/title/tt2660888/,movie,7.1,122,2016,"Action, Adventure, Sci-Fi, Thriller",222432,2016-07-20,Justin Lin,9,2018-05-01
236,tt3605418,2016-12-31,2016-12-31,,Knock Knock,https://www.imdb.com/title/tt3605418/,movie,4.9,99,2015,"Drama, Thriller",76307,2015-01-23,Eli Roth,7,2018-07-31
237,tt5173166,2016-12-31,2016-12-31,,Vier gegen die Bank,https://www.imdb.com/title/tt5173166/,movie,5.8,96,2016,"Comedy, Crime",2557,2016-12-25,Wolfgang Petersen,7,2018-10-13
238,tt5078204,2016-12-31,2016-12-31,,Demain tout commence,https://www.imdb.com/title/tt5078204/,movie,7.4,118,2016,"Comedy, Drama",21227,2016-11-04,Hugo G�lin,7,2018-06-03
239,tt2387559,2017-01-01,2017-01-01,,Delivery Man,https://www.imdb.com/title/tt2387559/,movie,6.4,105,2013,"Comedy, Drama",73847,2013-11-03,Ken Scott,7,2018-04-15
240,tt0265808,2017-01-02,2017-01-02,,Stealing Harvard,https://www.imdb.com/title/tt0265808/,movie,5.2,85,2002,"Comedy, Crime",12378,2002-09-13,Bruce McCulloch,5,2018-04-16
241,tt3741834,2017-01-02,2017-01-02,,Lion,https://www.imdb.com/title/tt3741834/,movie,8.0,118,2016,"Biography, Drama",205567,2016-09-10,Garth Davis,8,2017-03-06
242,tt0787524,2017-01-02,2017-01-02,,The Man Who Knew Infinity,https://www.imdb.com/title/tt0787524/,movie,7.2,108,2015,"Biography, Drama",49205,2015-09-17,Matt Brown,7,2018-04-06
243,tt4550098,2017-01-02,2017-01-02,,Nocturnal Animals,https://www.imdb.com/title/tt4550098/,movie,7.5,116,2016,"Drama, Thriller",228092,2016-09-02,Tom Ford,8,2018-05-09
244,tt2387499,2017-01-02,2017-01-02,,Keeping Up with the Joneses,https://www.imdb.com/title/tt2387499/,movie,5.9,105,2016,"Action, Comedy",55878,2016-10-19,Greg Mottola,7,2018-04-08
245,tt5500148,2017-01-02,2017-01-02,,Willkommen bei den Hartmanns,https://www.imdb.com/title/tt5500148/,movie,6.2,116,2016,"Comedy, Drama",4160,2016-11-03,Simon Verhoeven,8,2018-04-04
246,tt0063462,2017-01-02,2017-01-02,,The Producers,https://www.imdb.com/title/tt0063462/,movie,7.6,88,1967,"Comedy, Music",48904,1967-11-22,Mel Brooks,8,2018-05-05
247,tt0395251,2017-01-02,2017-01-02,,The Producers,https://www.imdb.com/title/tt0395251/,movie,6.3,134,2005,"Comedy, Crime, Musical",40065,2005-12-16,Susan Stroman,6,2018-05-19
248,tt0780568,2017-01-02,2017-01-02,,Mein F�hrer - Die wirklich wahrste Wahrheit �ber Adolf Hitler,https://www.imdb.com/title/tt0780568/,movie,5.5,89,2007,"Comedy, Drama, War",4007,2007-01-11,Dani Levy,8,2017-11-18
249,tt2113681,2017-01-02,2017-01-02,,Hundra�ringen som klev ut genom f�nstret och f�rsvann,https://www.imdb.com/title/tt2113681/,movie,7.1,114,2013,"Adventure, Comedy",37550,2013-12-25,Felix Herngren,7,2018-05-10
250,tt1859650,2017-01-02,2017-01-02,,To Rome with Love,https://www.imdb.com/title/tt1859650/,movie,6.3,112,2012,"Comedy, Music, Romance",82968,2012-04-20,Woody Allen,7,2018-05-20
251,tt2980516,2017-01-03,2017-01-03,,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",388964,2014-09-07,James Marsh,7,2018-05-10
252,tt2273657,2017-01-03,2017-01-03,,True Story,https://www.imdb.com/title/tt2273657/,movie,6.3,99,2015,"Crime, Drama, Mystery",61342,2015-01-23,Rupert Goold,8,2018-05-27
253,tt5247022,2017-01-04,2017-01-04,,Paterson,https://www.imdb.com/title/tt5247022/,movie,7.4,118,2016,"Comedy, Drama, Romance",66530,2016-05-16,Jim Jarmusch,7,2018-03-30
254,tt4196776,2017-01-04,2017-01-04,,Jason Bourne,https://www.imdb.com/title/tt4196776/,movie,6.6,123,2016,"Action, Thriller",203236,2016-07-03,Paul Greengrass,8,2018-03-30
255,tt1985949,2017-01-04,2017-01-04,,Angry Birds,https://www.imdb.com/title/tt1985949/,movie,6.3,97,2016,"Animation, Action, Adventure, Comedy, Family",77935,2016-05-01,"Fergal Reilly, Clay Kaytis",9,2018-06-09
256,tt1860213,2017-01-04,2017-01-04,,Dirty Grandpa,https://www.imdb.com/title/tt1860213/,movie,5.9,102,2016,Comedy,110263,2016-01-20,Dan Mazer,7,2018-05-05
257,tt1823672,2017-01-05,2017-01-05,,Chappie,https://www.imdb.com/title/tt1823672/,movie,6.8,120,2015,"Action, Crime, Drama, Sci-Fi, Thriller",225394,2015-03-04,Neill Blomkamp,8,2018-04-03
258,tt2568862,2017-01-05,2017-01-05,,Going in Style,https://www.imdb.com/title/tt2568862/,movie,6.6,96,2017,"Comedy, Crime",74454,2017-04-01,Zach Braff,8,2018-05-21
259,tt1398426,2017-01-05,2017-01-05,,Straight Outta Compton,https://www.imdb.com/title/tt1398426/,movie,7.8,147,2015,"Biography, Drama, History, Music",175634,2015-08-11,F. Gary Gray,8,2018-05-19
260,tt5037840,2017-01-07,2017-01-07,,Drunk Parents,https://www.imdb.com/title/tt5037840/,movie,3.8,97,2019,Comedy,4746,2019-02-08,Fred Wolf,4,2019-06-19
261,tt5105736,2017-01-07,2017-01-07,,The Art of Organized Noize,https://www.imdb.com/title/tt5105736/,movie,7.1,99,2016,"Documentary, Music",444,2016-03-16,Quincy Jones III,8,2019-08-03
262,tt2096672,2017-01-11,2017-01-11,,Dumb and Dumber To,https://www.imdb.com/title/tt2096672/,movie,5.6,109,2014,Comedy,126078,2014-11-03,"Bobby Farrelly, Peter Farrelly",8,2017-06-24
263,tt1320253,2017-01-11,2017-01-11,,The Expendables,https://www.imdb.com/title/tt1320253/,movie,6.5,103,2010,"Action, Adventure, Thriller",320432,2010-08-03,Sylvester Stallone,7,2018-12-02
264,tt0085991,2017-01-11,2017-01-11,,Nankyoku monogatari,https://www.imdb.com/title/tt0085991/,movie,7.7,143,1983,"Adventure, Drama",1420,1983-03-20,Koreyoshi Kurahara,8,2018-04-06
265,tt1093824,2017-01-11,2017-01-11,,Encounters at the End of the World,https://www.imdb.com/title/tt1093824/,movie,7.7,99,2007,Documentary,16869,2007-09-01,Werner Herzog,8,2018-03-29
266,tt4085944,2017-01-13,2017-01-13,,Lolo,https://www.imdb.com/title/tt4085944/,movie,5.7,99,2015,Comedy,3594,2015-09-03,Julie Delpy,6,2018-04-16
267,tt0106677,2017-01-13,2017-01-13,,Dazed and Confused,https://www.imdb.com/title/tt0106677/,movie,7.6,102,1993,Comedy,160754,1993-06-04,Richard Linklater,7,2018-05-09
268,tt2937696,2017-01-13,2017-01-13,,Everybody Wants Some!!,https://www.imdb.com/title/tt2937696/,movie,6.9,117,2016,Comedy,50738,2016-03-11,Richard Linklater,7,2018-04-29
269,tt4649416,2017-01-15,2017-01-15,,Almost Christmas,https://www.imdb.com/title/tt4649416/,movie,6.1,111,2016,"Comedy, Drama",5714,2016-10-26,David E. Talbert,7,2018-04-18
